--- Space Rules ---,,,,,,,,,
Office Type 1,Default Value,Office Core,Default Value,Office Type 3,Default Value,Office Top Floor,Default Value,Office Type 5,Default Value
Meeting Room: probability of 60-min meetings [%],70,Meeting Room: probability of 60-min meetings [%],66,Meeting Room: probability of 60-min meetings [%],70,Meeting Room: probability of 60-min meetings [%],70,Meeting Room: probability of 60-min meetings [%],70
Meeting Room: probability of 90-min meetings [%],12,Meeting Room: probability of 90-min meetings [%],12,Meeting Room: probability of 90-min meetings [%],12,Meeting Room: probability of 90-min meetings [%],12,Meeting Room: probability of 90-min meetings [%],12
Meeting Room: probability of 120-min meetings [%],5,Meeting Room: probability of 120-min meetings [%],5,Meeting Room: probability of 120-min meetings [%],5,Meeting Room: probability of 120-min meetings [%],5,Meeting Room: probability of 120-min meetings [%],5
--- Occupant Behavior Rules ---,Default Value,,,,,,,,
Manager: typical arrival time [hh:mm],8:30,,,,,,,,
Manager: arrival time variation [min],30,,,,,,,,
Manager: typical departure time [hh:mm],17:30,,,,,,,,
Manager: arrival time variation [min],30,,,,,,,,
Manager: typical short-term leaving [hh:mm],12:00,,,,,,,,
Manager: short-term leaving variation [min],30,,,,,,,,
Manager: typical short-term leaving duration [min],60,,,,,,,,
Manager: short-term leaving duration variation [min],15,,,,,,,,
Manager: percent of time in space - Own office [%],50,,,,,,,,
Manager: average stay time - Own office [min],60,,,,,,,,
Manager: percent of time in space - Other offices [%],20,,,,,,,,
Manager: average stay time - Other offices [min],20,,,,,,,,
Manager: percent of time in space -  Meeting rooms [%],20,,,,,,,,
Manager: average stay time -  Meeting rooms [min],60,,,,,,,,
Manager: percent of time in space -  Auxiliary rooms [%],0,,,,,,,,
Manager: average stay time -  Auxiliary rooms [min],10,,,,,,,,
Manager: percent of time in space -  Outdoor [%],10,,,,,,,,
Manager: average stay time -  Outdoor [min],20,,,,,,,,
Administrator: typical arrival time [hh:mm],8:30,,,,,,,,
Administrator: arrival time variation [min],30,,,,,,,,
Administrator: typical departure time [hh:mm],17:30,,,,,,,,
Administrator: arrival time variation [min],30,,,,,,,,
Administrator: typical short-term leaving [hh:mm],12:00,,,,,,,,
Administrator: short-term leaving variation [min],30,,,,,,,,
Administrator: typical short-term leaving duration [min],60,,,,,,,,
Administrator: short-term leaving duration variation [min],15,,,,,,,,
Administrator: percent of time in space - Own office [%],70,,,,,,,,
Administrator: average stay time - Own office [min],60,,,,,,,,
Administrator: percent of time in space - Other offices [%],15,,,,,,,,
Administrator: average stay time - Other offices [min],20,,,,,,,,
Administrator: percent of time in space -  Meeting rooms [%],5,,,,,,,,
Administrator: average stay time -  Meeting rooms [min],60,,,,,,,,
Administrator: percent of time in space -  Auxiliary rooms [%],0,,,,,,,,
Administrator: average stay time -  Auxiliary rooms [min],10,,,,,,,,
Administrator: percent of time in space -  Outdoor [%],10,,,,,,,,
Administrator: average stay time -  Outdoor [min],20,,,,,,,,
Regular Staff: typical arrival time [hh:mm],8:30,,,,,,,,
Regular Staff: arrival time variation [min],30,,,,,,,,
Regular Staff: typical departure time [hh:mm],17:30,,,,,,,,
Regular Staff: arrival time variation [min],30,,,,,,,,
Regular Staff: typical short-term leaving [hh:mm],12:00,,,,,,,,
Regular Staff: short-term leaving variation [min],30,,,,,,,,
Regular Staff: typical short-term leaving duration [min],60,,,,,,,,
Regular Staff: short-term leaving duration variation [min],15,,,,,,,,
Regular Staff: percent of time in space - Own office [%],60,,,,,,,,
Regular Staff: average stay time - Own office [min],60,,,,,,,,
Regular Staff: percent of time in space - Other offices [%],20,,,,,,,,
Regular Staff: average stay time - Other offices [min],20,,,,,,,,
Regular Staff: percent of time in space -  Meeting rooms [%],15,,,,,,,,
Regular Staff: average stay time -  Meeting rooms [min],60,,,,,,,,
Regular Staff: percent of time in space -  Auxiliary rooms [%],0,,,,,,,,
Regular Staff: average stay time -  Auxiliary rooms [min],10,,,,,,,,
Regular Staff: percent of time in space -  Outdoor [%],5,,,,,,,,
Regular Staff: average stay time -  Outdoor [min],20,,,,,,,,
 --- Holiday Rules ---,Default Value,,,,,,,,
US Holiday: New Year's Day,2018-01-01,,,,,,,,
"US Holiday: Martin Luther King, Jr. Day",2018-01-18,,,,,,,,
US Holiday: George Washington's Birthday,2018-02-15,,,,,,,,
US Holiday: Memorial Day,2018-05-30,,,,,,,,
US Holiday: Independence Day,2018-07-04,,,,,,,,
US Holiday: Labor Day,2018-09-05,,,,,,,,
US Holiday: Columbus Day,2018-10-10,,,,,,,,
US Holiday: Veterans Day,2018-11-11,,,,,,,,
US Holiday: Thanksgiving Day,2018-11-24,,,,,,,,
US Holiday: Christmas Day,2018-12-25,,,,,,,,
Custom Holiday: Custom Holiday 1,,,,,,,,,
Custom Holiday: Custom Holiday 2,,,,,,,,,
Custom Holiday: Custom Holiday 3,,,,,,,,,
Custom Holiday: Custom Holiday 4,,,,,,,,,
Custom Holiday: Custom Holiday 5,,,,,,,,,
